Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
ecoli_,3,Heuristic (FhS) with shifts,0.4,107,10.330574243564362,48,10,120.05514311790466,1
ecoli_,3,Heuristic (FhS) with shifts,0.6,160,14.042547215937354,0,0,120.39272499084473,1
ecoli_,3,Heuristic (FhS) with shifts,0.8,214,14.529908320552,35,10,120.11754107475281,1
ecoli_,3,Exact (FeS),0.0,8,NaN,152,43,120.05384993553162,4
ecoli_,3,Exact (FeS),0.2,53,6.757947786918636,86,25,120.05414009094238,1
ecoli_,3,Exact (FeS),0.4,107,11.203314853396327,55,11,120.07090020179749,1
ecoli_,3,Exact (FeS),0.6,160,16.521731947073068,48,16,120.1371500492096,1
ecoli_,3,Exact (FeS),0.8,214,18.061666052129492,42,14,120.52983212471008,1
ecoli_,4,Univariate,0.0,8,0.0,154,33,0.7981488704681396,1
ecoli_,4,Univariate,0.2,53,21.884814518141713,60,18,120.03990888595581,1
ecoli_,4,Univariate,0.4,107,20.72071138706694,44,14,120.09564995765686,1
ecoli_,4,Univariate,0.6,160,19.642848373728405,44,11,120.11656498908997,1
ecoli_,4,Univariate,0.8,214,18.58406257342364,40,15,120.11723494529724,1
ecoli_,4,Univariate,1.0,268,16.01730908341598,36,12,120.20857310295105,1
ecoli_,4,Heuristic (FhS),0.0,8,4.280153976593784,71,27,120.21285796165466,3
ecoli_,4,Heuristic (FhS),0.2,53,3.07692189349158,132,34,120.05476307868958,1
ecoli_,4,Heuristic (FhS),0.4,107,11.666661805557581,37,11,120.16908979415894,1
ecoli_,4,Heuristic (FhS),0.6,160,24.074062928674568,54,16,120.19539713859558,1
ecoli_,4,Heuristic (FhS),0.8,214,17.030560248663647,35,16,120.58926105499268,1
ecoli_,4,Heuristic (FhS) with shifts,0.0,8,4.280153976593784,71,27,120.51732397079468,3
ecoli_,4,Heuristic (FhS) with shifts,0.2,53,2.290075461803259,119,30,120.0877161026001,1
ecoli_,4,Heuristic (FhS) with shifts,0.4,107,12.133886136449314,38,9,120.17770004272461,1
ecoli_,4,Heuristic (FhS) with shifts,0.6,160,24.074062928674568,54,16,120.47993612289429,1
ecoli_,4,Heuristic (FhS) with shifts,0.8,214,18.061666052129492,38,14,120.21695494651794,1
ecoli_,4,Exact (FeS),0.0,8,NaN,65,18,120.03400588035583,6
ecoli_,4,Exact (FeS),0.2,53,3.47490213324242,117,38,120.27930402755737,1
ecoli_,4,Exact (FeS),0.4,107,13.080163257315082,51,9,120.20234799385071,1
ecoli_,4,Exact (FeS),0.6,160,19.111102617287724,45,14,120.25135397911072,1
ecoli_,4,Exact (FeS),0.8,214,71.7948257714587,118,29,120.32900190353394,1
