Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time
breast_cancer_,3,Univariate,0.2,91,0.0,25,11,47.424643993377686
breast_cancer_,3,Univariate,0.4,182,15.176684778947978,25,7,120.09201002120972
breast_cancer_,3,Univariate,0.6,273,5.08083023537408,21,11,120.11024808883667
breast_cancer_,3,Univariate,0.8,364,6.807510139082128,22,8,120.14545798301697
breast_cancer_,3,Univariate,1.0,455,5.324072841649805,23,14,120.14653491973877
breast_cancer_,3,Multivariate,0.0,2,0.0,286,71,0.627784013748169
breast_cancer_,3,Multivariate,0.2,91,0.0,169,43,0.8392908573150635
breast_cancer_,3,Multivariate,0.4,182,0.0,169,43,11.87885594367981
breast_cancer_,3,Multivariate,0.6,273,0.0,169,43,5.671615123748779
breast_cancer_,3,Multivariate,0.8,364,0.0,286,71,1.211266040802002
breast_cancer_,3,Multivariate,1.0,455,0.0,286,71,16.75105595588684
breast_cancer_,4,Univariate,0.0,2,0.0,287,76,0.1327528953552246
breast_cancer_,4,Univariate,0.2,91,32.26743248039754,34,13,120.60294508934021
breast_cancer_,4,Univariate,0.4,182,17.875643037398177,32,9,120.11584496498108
breast_cancer_,4,Univariate,0.6,273,7.058821868512502,27,9,120.28831911087036
breast_cancer_,4,Univariate,0.8,364,5.08083023537408,21,7,120.24112892150879
breast_cancer_,4,Univariate,1.0,455,6.807510139082128,26,11,120.64717411994934
breast_cancer_,4,Multivariate,0.0,2,0.0,169,43,1.619880199432373
breast_cancer_,4,Multivariate,0.2,91,0.0,169,43,1.8148729801177979
breast_cancer_,4,Multivariate,0.4,182,0.0,286,71,41.043941020965576
breast_cancer_,4,Multivariate,0.6,273,0.0,286,71,43.43097496032715
breast_cancer_,4,Multivariate,0.8,364,0.0,169,43,47.0208899974823
breast_cancer_,4,Multivariate,1.0,455,0.0,286,71,78.79920291900635
ecoli_,2,Univariate,0.0,8,0.0,154,33,0.06235003471374512
ecoli_,2,Univariate,0.2,53,0.0,67,20,0.9776310920715332
ecoli_,2,Univariate,0.4,107,0.0,50,16,2.298750877380371
ecoli_,2,Univariate,0.6,160,0.0,48,15,5.866284132003784
ecoli_,2,Univariate,0.8,214,0.0,47,15,7.637923955917358
ecoli_,2,Univariate,1.0,268,0.0,47,15,93.76228284835815
ecoli_,2,Multivariate,0.0,8,0.0,254,62,0.14440488815307617
ecoli_,2,Multivariate,0.2,53,0.0,254,62,1.9753689765930176
ecoli_,2,Multivariate,0.4,107,0.0,159,34,15.731981039047241
ecoli_,2,Multivariate,0.6,160,0.0,226,58,91.87603902816772
ecoli_,2,Multivariate,0.8,214,0.0,159,34,84.9341950416565
ecoli_,2,Multivariate,1.0,268,4.202896723378244,159,34,120.04608798027039
ecoli_,3,Univariate,0.0,8,0.0,154,33,0.20603322982788086
ecoli_,3,Univariate,0.2,53,0.0,74,23,20.930778980255127
ecoli_,3,Univariate,0.4,107,0.0,37,12,117.21481204032898
ecoli_,3,Univariate,0.6,160,17.048912687156648,42,14,120.05046701431274
ecoli_,3,Univariate,0.8,214,19.111102617287724,42,11,120.06357288360596
ecoli_,3,Univariate,1.0,268,15.517234690847117,36,12,120.08506894111633
