Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
breast_cancer_,4,Multivariate,1.0,455,169.23066909427865,286,71,30.258880138397217,1
ecoli_,2,Univariate,0.0,8,0.0,154,33,0.04301810264587402,1
ecoli_,2,Univariate,0.2,54,0.0,66,20,1.4464890956878662,1
ecoli_,2,Univariate,0.4,108,0.0,53,17,4.87322211265564,1
ecoli_,2,Univariate,0.6,159,0.0,50,15,7.175528049468994,1
ecoli_,2,Univariate,0.8,215,4.5674628549348855,48,16,30.042377948760986,1
ecoli_,2,Univariate,1.0,268,7.9310809097126125,47,15,30.042444229125977,1
ecoli_,2,Multivariate,0.0,8,0.0,241,60,0.19056391716003418,1
ecoli_,2,Multivariate,0.2,54,0.0,199,60,8.936999797821045,1
ecoli_,2,Multivariate,0.4,108,0.0,159,34,17.171940088272095,1
ecoli_,2,Multivariate,0.6,159,8.256273067663159,159,34,30.038783073425293,1
ecoli_,2,Multivariate,0.8,215,6.768544401341564,226,58,30.042237997055054,1
ecoli_,2,Multivariate,1.0,268,8.809129130747353,199,60,30.059196949005127,1
ecoli_,3,Univariate,0.0,8,0.0,154,33,0.24064898490905762,1
ecoli_,3,Univariate,0.2,54,20.921548469731402,59,16,30.019099950790405,1
ecoli_,3,Univariate,0.4,108,28.640762795746216,62,21,30.037395000457764,1
ecoli_,3,Univariate,0.6,159,41.05260997231054,73,22,30.051942110061646,1
ecoli_,3,Univariate,0.8,215,43.315484858029485,79,25,30.11262798309326,1
ecoli_,3,Univariate,1.0,268,51.41240033197721,91,27,30.374464988708496,1
ecoli_,3,Multivariate,0.0,8,0.0,264,67,5.341133117675781,1
ecoli_,3,Multivariate,0.2,54,12.71185902039872,267,67,30.111857891082764,1
ecoli_,3,Multivariate,0.4,108,18.83407227171647,159,34,30.062697887420654,1
ecoli_,3,Multivariate,0.6,159,14.042547215937354,226,58,30.09599804878235,1
ecoli_,3,Multivariate,0.8,215,17.030560248663647,241,60,30.1334969997406,1
ecoli_,3,Multivariate,1.0,268,17.543851954450897,159,34,30.09319496154785,1
ecoli_,4,Univariate,0.0,8,0.0,155,33,1.093743085861206,1
ecoli_,4,Univariate,0.2,54,37.11338293124591,69,21,30.224527835845947,1
ecoli_,4,Univariate,0.4,108,24.413134078340807,53,15,30.06431794166565,1
ecoli_,4,Univariate,0.6,159,40.314115018787945,56,19,30.10495901107788,1
ecoli_,4,Univariate,0.8,215,56.725113026249694,79,24,30.1531400680542,1
ecoli_,4,Univariate,1.0,268,71.79482577254758,81,28,30.139117002487183,1
ecoli_,4,Multivariate,0.0,8,1.2903217481795173,159,34,30.072479009628296,1
ecoli_,4,Multivariate,0.2,54,34.34341699827424,159,34,30.187353134155273,1
ecoli_,4,Multivariate,0.4,108,17.77776987654672,254,62,30.11119818687439,1
ecoli_,4,Multivariate,0.6,159,18.061666052129492,241,60,30.10080099105835,1
ecoli_,4,Multivariate,0.8,215,40.314115018787945,264,67,30.375704050064087,1
ecoli_,4,Multivariate,1.0,268,28.229651564760015,264,67,30.181082010269165,1
