Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
wine,2,Exact (FeS),0.0,3,0.0,5,2,71.8323130607605,9
wine,2,Exact (FeS),0.2,28,0.0,5,2,52.576606035232544,9
wine,2,Exact (FeS),0.4,56,0.0,5,2,88.8151159286499,8
wine,2,Exact (FeS),0.6,85,0.0,5,2,89.19925379753113,5
wine,2,Exact (FeS),0.8,113,0.0,5,2,43.13589596748352,2
wine,3,Univariate,0.0,3,0.0,57,15,0.026029109954833984,1
wine,3,Univariate,0.2,28,0.0,27,10,2.6491858959198,1
wine,3,Univariate,0.4,56,0.0,2,3,10.896106004714966,1
wine,3,Univariate,0.6,85,0.0,2,1,19.095422983169556,1
wine,3,Univariate,0.8,113,0.0,0,4,74.10422682762146,1
wine,3,Univariate,1.0,142,0.0,0,3,112.45375800132751,1
wine,3,Heuristic (FhS),0.0,3,1.428570408163994,2,3,120.07596611976624,9
wine,3,Heuristic (FhS),0.2,28,0.0,0,2,73.67208409309387,7
wine,3,Heuristic (FhS),0.4,56,4.4117614619401015,6,1,120.03487992286682,9
wine,3,Heuristic (FhS),0.6,85,1.428570408163994,4,4,120.00351309776306,4
wine,3,Heuristic (FhS),0.8,113,0.7092193551635779,2,4,120.15974187850952,5
wine,3,Heuristic (FhS) with shifts,0.0,3,1.428570408163994,0,1,120.36243605613708,9
wine,3,Heuristic (FhS) with shifts,0.2,28,0.0,0,2,72.78400802612305,7
wine,3,Heuristic (FhS) with shifts,0.4,56,3.649632372531115,2,2,120.31001091003418,9
wine,3,Heuristic (FhS) with shifts,0.6,85,1.428570408163994,4,4,120.2603051662445,4
wine,3,Heuristic (FhS) with shifts,0.8,113,NaN,5,5,120.01621794700623,11
wine,3,Exact (FeS),0.0,3,2.158271828581418,3,3,120.18341898918152,9
wine,3,Exact (FeS),0.2,28,1.428570408163994,2,4,120.41661596298218,9
wine,3,Exact (FeS),0.4,56,5.185181344318619,11,5,120.14698815345764,7
wine,3,Exact (FeS),0.6,85,NaN,11,6,120.02575898170471,7
wine,3,Exact (FeS),0.8,113,NaN,71,20,120.05402112007141,9
wine,4,Univariate,0.0,3,0.0,58,15,0.04748415946960449,1
wine,4,Univariate,0.2,28,0.0,10,7,7.304157972335815,1
wine,4,Univariate,0.4,56,0.0,2,2,41.86949014663696,1
wine,4,Univariate,0.6,85,0.0,0,2,43.89146590232849,1
wine,4,Univariate,0.8,113,0.0,0,2,78.42050004005432,1
wine,4,Univariate,1.0,142,4.4117614619401015,6,4,120.0955331325531,1
wine,4,Heuristic (FhS),0.0,3,NaN,40,11,120.26859998703003,8
wine,4,Heuristic (FhS),0.2,28,NaN,7,3,120.08413600921631,9
wine,4,Heuristic (FhS),0.4,56,NaN,5,3,120.10459589958191,9
wine,4,Heuristic (FhS),0.6,85,8.396940155007515,12,4,120.39824104309082,5
wine,4,Heuristic (FhS),0.8,113,1.428570408163994,6,6,120.48493909835815,2
wine,4,Heuristic (FhS) with shifts,0.0,3,79.74673449780443,40,11,120.87933397293091,7
wine,4,Heuristic (FhS) with shifts,0.2,28,NaN,7,3,120.07888293266296,11
wine,4,Heuristic (FhS) with shifts,0.4,56,2.158271828581418,5,3,120.64323902130127,5
wine,4,Heuristic (FhS) with shifts,0.6,85,10.07751156782049,13,3,119.99653100967407,5
wine,4,Heuristic (FhS) with shifts,0.8,113,1.428570408163994,6,6,120.34927105903625,2
wine,4,Exact (FeS),0.0,3,NaN,4,4,120.06534218788147,9
wine,4,Exact (FeS),0.2,28,4.4117614619401015,7,0,120.28747510910034,6
wine,4,Exact (FeS),0.4,56,NaN,22,8,120.05618715286255,7
wine,4,Exact (FeS),0.6,85,1.428570408163994,5,2,120.1085569858551,3
wine,4,Exact (FeS),0.8,113,5.970144798399404,21,3,120.42787218093872,2
breast_cancer_,2,Univariate,0.0,2,0.0,173,45,0.032137155532836914,1
breast_cancer_,2,Univariate,0.2,91,0.0,26,7,7.103356838226318,1
breast_cancer_,2,Univariate,0.4,182,0.0,21,7,29.607282876968384,1
breast_cancer_,2,Univariate,0.6,273,3.4411811406182813,22,5,120.51643300056458,1
breast_cancer_,2,Univariate,0.8,364,4.058932884527181,18,5,120.05164813995361,1
breast_cancer_,2,Univariate,1.0,455,4.1189921924503,18,6,120.07741189002991,1
breast_cancer_,2,Heuristic (FhS),0.0,2,1.324278509881642,27,4,120.59853887557983,6
breast_cancer_,2,Heuristic (FhS),0.2,91,1.7607216955900789,31,7,120.38076210021973,4
breast_cancer_,2,Heuristic (FhS),0.4,182,1.5624996512277565,31,9,120.09725308418274,1
breast_cancer_,2,Heuristic (FhS),0.6,273,3.409090134297697,39,11,120.17397713661194,1
breast_cancer_,2,Heuristic (FhS),0.8,364,4.357797165642852,22,6,120.27240586280823,1
breast_cancer_,2,Heuristic (FhS) with shifts,0.0,2,NaN,27,4,120.02544379234314,11
breast_cancer_,2,Heuristic (FhS) with shifts,0.2,91,NaN,31,7,120.0081000328064,9
breast_cancer_,2,Heuristic (FhS) with shifts,0.4,182,1.5624996512277565,31,9,120.10727906227112,1
breast_cancer_,2,Heuristic (FhS) with shifts,0.6,273,3.409090134297697,39,11,120.22204303741455,1
breast_cancer_,2,Heuristic (FhS) with shifts,0.8,364,4.357797165642852,22,6,120.57975721359253,1
breast_cancer_,2,Exact (FeS),0.0,2,NaN,78,18,120.0745759010315,9
breast_cancer_,2,Exact (FeS),0.2,91,0.6637166673193214,137,33,120.24532794952393,2
breast_cancer_,2,Exact (FeS),0.4,182,1.3363025977054348,29,9,120.14354801177979,1
breast_cancer_,2,Exact (FeS),0.6,273,3.1746024547417577,43,8,120.1769368648529,1
breast_cancer_,2,Exact (FeS),0.8,364,3.881277652676335,20,8,120.66666507720947,1
