Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time
breast_cancer_,4,Multivariate,0.4,182,0.0,286,71,37.84773802757263
breast_cancer_,4,Multivariate,0.6,273,0.0,286,71,43.327189207077026
breast_cancer_,4,Multivariate,0.8,364,0.0,169,43,47.659229040145874
breast_cancer_,4,Multivariate,1.0,455,0.0,286,71,80.23792099952698
ecoli_,2,Univariate,0.0,8,0.0,154,33,0.048623085021972656
ecoli_,2,Univariate,0.2,53,0.0,67,20,0.7307929992675781
ecoli_,2,Univariate,0.4,107,0.0,50,16,1.807939052581787
ecoli_,2,Univariate,0.6,160,0.0,48,15,4.916207790374756
ecoli_,2,Univariate,0.8,214,0.0,47,15,7.304439067840576
ecoli_,2,Univariate,1.0,268,0.0,47,15,88.56010389328003
ecoli_,2,Multivariate,0.0,8,0.0,254,62,0.13758611679077148
ecoli_,2,Multivariate,0.2,53,0.0,254,62,1.8421170711517334
ecoli_,2,Multivariate,0.4,107,0.0,159,34,15.572861909866333
ecoli_,2,Multivariate,0.6,160,0.0,226,58,95.19109606742859
ecoli_,2,Multivariate,0.8,214,0.0,159,34,86.66754102706909
ecoli_,2,Multivariate,1.0,268,4.327184490488798,159,34,120.03477597236633
ecoli_,3,Univariate,0.0,8,0.0,154,33,0.21275019645690918
ecoli_,3,Univariate,0.2,53,0.0,74,23,20.56432294845581
ecoli_,3,Univariate,0.4,107,1.505814746319347,37,12,120.03747200965881
ecoli_,3,Univariate,0.6,160,17.184476088605443,42,14,120.04539108276367
ecoli_,3,Univariate,0.8,214,19.111102617287724,42,11,120.22154498100281
ecoli_,3,Univariate,1.0,268,15.517234690847117,36,12,120.06841206550598
ecoli_,3,Multivariate,0.0,8,0.0,159,34,3.0117359161376953
ecoli_,3,Multivariate,0.2,53,3.998320210587148,226,58,120.03989696502686
ecoli_,3,Multivariate,0.4,107,7.6612872333519215,159,34,120.04724192619324
ecoli_,3,Multivariate,0.6,160,8.06451287721255,241,60,120.06821894645691
ecoli_,3,Multivariate,0.8,214,10.288061609851189,199,60,120.0667290687561
ecoli_,3,Multivariate,1.0,268,12.133886136449314,199,60,120.10384893417358
ecoli_,4,Univariate,0.0,8,0.0,154,33,0.7154221534729004
ecoli_,4,Univariate,0.2,53,18.87625309280148,60,18,120.03207993507385
ecoli_,4,Univariate,0.4,107,20.72071138706694,44,14,120.07400417327881
ecoli_,4,Univariate,0.6,160,19.642848373728405,44,11,120.10234689712524
ecoli_,4,Univariate,0.8,214,18.58406257342364,40,15,120.10668516159058
ecoli_,4,Univariate,1.0,268,16.01730908341598,36,12,120.18774914741516
ecoli_,4,Multivariate,0.0,8,0.0,241,60,34.52510595321655
ecoli_,4,Multivariate,0.2,53,12.605036720572807,199,60,120.05161809921265
ecoli_,4,Multivariate,0.4,107,8.502020849384271,226,58,120.12957286834717
ecoli_,4,Multivariate,0.6,160,12.605036720572807,241,60,120.16733694076538
ecoli_,4,Multivariate,0.8,214,11.203314853396327,254,62,120.14783787727356
ecoli_,4,Multivariate,1.0,268,8.943085795493579,199,60,120.16644310951233
