Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
breast_cancer_,4,Univariate,0.0,2,0.0,230,58,0.02516913414001465,1
breast_cancer_,4,Univariate,0.2,91,21.333327644445962,35,6,30.082932949066162,1
breast_cancer_,4,Univariate,0.4,182,14.32160444180793,40,9,30.17472219467163,1
breast_cancer_,4,Univariate,0.6,273,13.466330806401295,43,14,30.24638795852661,1
breast_cancer_,4,Univariate,0.8,364,10.705593502288686,37,8,30.27061104774475,1
breast_cancer_,4,Univariate,1.0,455,10.169489063077709,42,9,30.339956045150757,1
breast_cancer_,4,Multivariate,0.0,2,0.0,169,43,1.5092549324035645,1
breast_cancer_,4,Multivariate,0.2,91,0.0,286,71,1.6472599506378174,1
breast_cancer_,4,Multivariate,0.4,182,59.090888429759296,169,43,30.174520015716553,1
breast_cancer_,4,Multivariate,0.6,273,169.23066909427865,286,71,30.1661319732666,1
breast_cancer_,4,Multivariate,0.8,364,169.23066909427865,286,71,30.19651198387146,1
breast_cancer_,4,Multivariate,1.0,455,169.23066909427865,286,71,30.214599132537842,1
ecoli_,2,Univariate,0.0,8,0.0,154,33,0.0478060245513916,1
ecoli_,2,Univariate,0.2,55,0.0,54,15,1.8126418590545654,1
ecoli_,2,Univariate,0.4,110,0.0,51,17,3.5171618461608887,1
ecoli_,2,Univariate,0.6,159,4.991492238319062,50,15,30.019322156906128,1
ecoli_,2,Univariate,0.8,215,7.774969407095693,48,15,30.030951023101807,1
ecoli_,2,Univariate,1.0,268,9.623799961887341,48,18,30.055956840515137,1
ecoli_,2,Multivariate,0.0,8,0.0,241,60,0.16213297843933105,1
ecoli_,2,Multivariate,0.2,55,0.0,199,60,12.010166883468628,1
ecoli_,2,Multivariate,0.4,110,0.0,199,60,21.116262912750244,1
ecoli_,2,Multivariate,0.6,159,4.366810320170166,159,34,30.056896924972534,1
ecoli_,2,Multivariate,0.8,215,5.485591676240332,159,34,30.030659914016724,1
ecoli_,2,Multivariate,1.0,268,9.164374853046477,226,58,30.03101110458374,1
ecoli_,3,Univariate,0.0,8,0.0,154,33,0.24935603141784668,1
ecoli_,3,Univariate,0.2,55,35.47672084158727,58,15,30.0203959941864,1
ecoli_,3,Univariate,0.4,110,26.415081879678358,39,14,30.030869960784912,1
ecoli_,3,Univariate,0.6,159,32.019688660251894,59,17,30.047718048095703,1
ecoli_,3,Univariate,0.8,215,22.93576929551867,49,16,30.055763006210327,1
ecoli_,3,Univariate,1.0,268,39.583312717024626,76,23,30.078993797302246,1
ecoli_,3,Multivariate,0.0,8,0.0,264,67,3.933027982711792,1
ecoli_,3,Multivariate,0.2,55,18.58406257342364,267,67,30.029027938842773,1
ecoli_,3,Multivariate,0.4,110,12.605036720572807,254,62,30.06535792350769,1
ecoli_,3,Multivariate,0.6,158,12.605036720572807,241,60,30.041979789733887,1
ecoli_,3,Multivariate,0.8,215,13.5593162884253,226,58,30.09019684791565,1
ecoli_,3,Multivariate,1.0,268,12.133886136449314,254,62,30.063045024871826,1
ecoli_,4,Univariate,0.0,8,0.0,155,33,0.811967134475708,1
ecoli_,4,Univariate,0.2,55,31.37253364091488,53,14,30.0362229347229,1
ecoli_,4,Univariate,0.4,110,30.097072768411277,54,12,30.134400129318237,1
ecoli_,4,Univariate,0.6,159,44.86484061359967,71,21,30.100743055343628,1
ecoli_,4,Univariate,0.8,215,37.435878238011156,70,24,30.159332990646362,1
ecoli_,4,Univariate,1.0,268,332.2575286168893,112,24,30.17960500717163,1
ecoli_,4,Multivariate,0.0,8,0.0,159,34,28.061290979385376,1
ecoli_,4,Multivariate,0.2,55,29.46858479778512,199,60,30.07686686515808,1
ecoli_,4,Multivariate,0.4,110,18.58406257342364,254,62,30.105958938598633,1
ecoli_,4,Multivariate,0.6,159,145.87142580603137,159,34,30.17617392539978,1
ecoli_,4,Multivariate,0.8,215,25.821584121322008,226,58,30.181195974349976,1
ecoli_,4,Multivariate,1.0,268,145.87142580603137,159,34,30.139214038848877,1
